age	weight	height	attr	sex	horm	mearche	hetero	steady	looking	number_sex1	number_sex2	number_sex3	SOI1	SOI2	SOI3	SOI4	SOI5	SOI6	scan1	scan2	scan3	scan4	scan5	scan6	scan7	scan8	scan9	scan10
20	85	168	5	2	1	11	2	2	3	3	4	4	5	4	2	3	3	2	2	5	6	2	1	4	1	4	5	4
30	60	164	8	2	1	13	1	1	NA	2	1	1	4	4	3	2	1	1	6	6	2	3	6	3	5	6	4	5
26	60	170	7	2	1	16	1	1	NA	2	1	2	2	2	3	2	2	1	6	4	4	3	5	5	3	6	2	7
18	53	158	6	2	1	13	1	2	1	3	1	1	3	2	2	3	1	2	7	2	2	2	7	3	6	7	3	7
25	50	165	4	2	2	15	1	2	3	1	2	3	4	4	2	2	2	1	6	2	2	5	2	3	4	5	4	5
19	66	178	7	2	NA	14	1	2	1	1	1	1	4	3	4	2	1	1	5	6	5	6	3	4	4	4	3	6
19	62	165	5	2	1	12	1	2	2	3	3	3	5	5	1	3	3	2	6	4	3	3	4	4	5	5	3	5
19	48	169	6	2	2	15	3	2	1	1	1	1	5	3	4	2	2	2	5	7	7	6	3	3	3	3	3	6
20	62	167	7	2	1	12	1	2	1	1	1	1	4	1	3	3	2	2	6	4	4	3	4	5	5	6	5	6
21	80	180	6	1	NA	NA	1	2	3	1	2	1	2	3	3	2	2	2	3	6	5	2	2	5	7	5	6	4
21	72	174	7	2	1	14	1	1	NA	2	1	1	2	2	4	2	2	2	2	3	3	3	3	4	6	5	5	7
18	62	171	8	2	1	13	1	1	NA	2	1	1	4	3	2	5	3	2	6	3	5	3	2	2	4	2	1	7
23	64	162	7	2	1	12	1	1	NA	2	5	5	5	4	1	3	2	2	7	4	2	5	4	6	5	6	4	6
19	70	165	6	2	1	16	1	2	1	1	1	1	1	1	4	2	1	1	5	4	4	2	4	6	3	7	3	7
20	54	158	5	2	1	15	1	1	NA	2	1	1	1	1	5	2	2	2	3	3	4	5	4	5	2	5	5	6
25	76	155	4	2	1	11	4	2	3	1	1	1	4	1	4	2	2	3	4	7	3	2	4	6	6	7	3	2
23	52	156	7	2	1	12	1	1	NA	2	1	1	3	1	3	2	2	1	6	2	2	2	4	5	4	6	3	6
18	75	185	8	1	NA	NA	1	1	NA	3	2	3	5	5	1	4	4	4	3	6	6	6	6	3	2	4	4	5
20	57	170	7	2	1	12	1	1	NA	2	1	1	4	4	3	3	2	2	4	4	3	2	3	4	7	7	2	5
18	66	160	4	2	2	13	1	2	3	1	1	1	1	1	5	2	2	1	4	5	5	3	4	4	4	5	4	5
24	60	180	8	2	1	16	1	2	2	4	5	5	5	3	1	3	3	1	5	4	4	4	4	5	4	5	4	5
23	70	169	7	2	1	13	1	2	2	2	3	2	5	4	2	2	2	2	6	4	3	3	3	4	3	6	3	5
24	72	179	6	1	NA	NA	1	2	2	2	1	2	4	4	2	3	3	1	3	5	4	6	6	2	2	8	3	6
28	72	174	6	2	1	11	1	1	NA	2	1	1	4	1	4	2	3	2	6	3	3	2	4	5	4	6	4	2
22	66	175	7	2	1	13	1	1	NA	2	2	2	3	4	2	4	2	3	7	7	2	4	4	7	5	5	5	6
26	55	162	7	2	1	13	1	1	NA	2	3	3	3	1	2	2	2	1	6	5	2	3	5	7	4	6	3	5
46	59	154	7	2	1	14	1	1	NA	2	4	3	4	4	3	3	2	3	7	4	2	7	7	7	7	7	2	7
29	56	166	6	2	1	14	1	1	NA	3	5	5	4	4	1	3	2	2	7	2	2	2	5	5	6	5	4	3
24	85	180	2	1	NA	NA	1	2	3	1	1	1	5	5	1	2	4	4	5	4	3	4	4	6	3	5	4	6
23	56	160	7	2	1	11	1	2	1	2	1	2	5	2	3	4	3	3	3	3	2	2	6	6	6	5	4	4
37	95	189	6	1	NA	NA	3	1	NA	2	5	5	4	5	2	3	3	3	8	4	4	1	4	5	1	5	5	1
26	64	174	6	2	2	13	1	1	NA	2	1	1	1	1	5	1	1	1	4	4	4	4	4	5	5	5	4	5
32	75	187	7	1	NA	NA	1	2	2	2	3	4	4	3	1	4	3	3	3	3	4	5	7	5	3	4	3	5
22	100	193	7	1	NA	NA	1	1	NA	4	5	5	5	4	1	4	3	3	3	6	3	5	7	2	2	2	3	4
19	61	173	7	2	1	14	1	2	1	1	1	1	1	1	4	1	1	1	4	5	4	3	2	2	2	3	3	7
47	81	168	6	2	2	14	1	1	NA	2	1	1	3	1	5	2	1	2	2	7	5	2	4	5	7	6	2	4
43	103	164	3	2	1	11	1	2	1	1	3	2	2	1	5	1	1	1	5	3	3	3	4	3	2	4	4	5
21	62	159	7	2	1	14	1	1	NA	2	1	2	3	2	4	2	2	2	6	7	2	3	3	3	3	5	3	5
23	62	167	8	2	1	13	4	1	NA	2	2	3	2	1	3	4	2	4	8	4	4	4	5	7	7	5	4	3
22	80	165	6	2	1	12	1	2	1	1	1	1	2	1	4	3	2	2	4	4	2	2	4	4	4	5	3	5
22	55	160	6	2	2	13	1	2	1	2	2	1	4	2	3	3	2	3	3	5	2	6	4	5	3	4	4	5
19	66	178	7	2	1	12	1	1	NA	2	1	1	3	1	4	2	1	1	4	4	3	3	2	2	4	6	3	4
22	58	162	9	2	1	13	1	2	1	2	4	5	3	4	2	4	4	5	4	5	4	5	4	5	6	4	4	5
20	72	170	6	2	2	13	1	2	1	1	1	1	2	1	5	3	1	1	3	2	2	4	2	3	5	6	3	7
21	55	166	6	2	2	12	2	2	3	1	1	1	4	2	2	4	2	2	5	5	4	5	3	3	3	3	4	6
29	67	176	8	2	2	13	1	1	NA	2	1	1	4	2	2	2	2	1	4	2	3	2	4	5	6	6	3	3
37	83	161	2	2	2	12	1	1	NA	2	3	3	2	1	4	2	1	1	3	6	5	5	6	3	3	6	4	5
47	65	167	8	2	2	11	1	1	NA	2	3	3	5	4	3	4	2	3	3	4	3	4	4	4	6	5	4	6
21	57	176	7	2	1	14	1	1	NA	2	4	4	5	4	1	3	3	3	5	2	4	2	3	6	6	6	3	5
25	65	163	6	2	2	10	2	1	NA	2	3	3	2	3	3	2	2	2	5	4	4	3	3	6	4	5	4	6
19	73	187	7	1	NA	NA	1	2	1	2	4	4	2	1	3	4	4	4	3	3	5	2	3	4	3	6	2	5
34	53.5	165	8	2	2	16	1	1	NA	2	2	3	5	5	2	3	2	1	5	7	3	3	6	4	7	6	5	5
23	69	176	7	2	1	11	1	2	1	3	3	3	5	3	2	4	3	3	5	2	2	2	7	4	6	7	3	6
20	68	178	6	2	2	12	1	2	1	1	1	1	5	3	3	1	1	3	1	8	4	5	1	5	4	8	1	5
23	62	167	4	2	1	17	1	1	NA	2	1	1	1	1	5	1	1	1	2	3	6	6	3	2	4	2	3	7
26	63	169	8	2	1	15	1	1	NA	3	4	4	2	2	2	2	2	1	2	4	4	2	6	4	6	7	3	4
26	73	194	7	1	NA	NA	1	2	1	1	2	2	4	2	2	5	4	4	4	4	4	4	2	6	6	7	7	3
20	65	170	7	1	NA	NA	1	1	NA	3	3	3	4	4	2	4	4	1	3	3	3	5	5	4	4	5	4	5
35	62	173	7	2	1	12	1	1	NA	3	5	5	5	4	1	4	4	3	6	3	6	3	3	5	5	6	4	5
20	55	168	6	2	NA	11	1	2	1	1	1	1	4	2	3	4	3	4	5	3	3	2	6	7	6	7	2	4
22	65	172	7	2	1	13	1	1	NA	2	2	1	5	5	2	1	1	1	2	5	3	4	3	3	2	4	3	5
23	88	183	8	1	NA	NA	1	2	2	4	3	3	4	4	2	5	5	5	3	2	4	3	6	3	3	4	5	2
22	84	188	7	1	NA	NA	4	1	NA	3	1	3	4	4	2	5	4	2	5	6	2	6	7	3	2	7	6	6
22	48	168	3	2	2	14	3	2	1	1	1	1	1	1	5	3	1	1	2	6	6	2	2	4	1	2	4	6
20	70	174	3	2	2	12	1	1	NA	2	3	3	4	2	4	1	1	1	7	2	5	3	5	7	3	5	4	7
21	69	172	6	2	1	14	1	1	NA	2	2	1	1	3	4	2	2	1	5	4	3	4	2	5	5	5	4	5
20	62	165	5	2	1	14	1	1	NA	2	1	1	2	1	3	2	1	1	7	2	5	6	4	6	3	5	4	5
20	71	185	7	2	1	13	1	1	NA	2	2	2	4	3	2	3	3	3	5	7	5	6	3	3	3	3	6	6
21	72	179	7	2	2	14	1	2	3	1	1	1	4	2	2	4	4	3	6	7	2	2	2	4	2	6	2	6
24	75	166	6	2	1	11	1	1	NA	2	4	3	2	3	3	2	2	1	2	7	1	1	3	7	7	8	1	1
24	53	163	7	2	1	13	1	1	NA	2	1	1	3	2	3	3	1	1	6	4	4	5	3	5	3	6	4	3
19	60	168	4	2	1	13	1	2	1	1	1	1	4	2	3	3	2	3	5	3	6	2	5	6	7	7	6	3
20	94	175	5	1	NA	NA	1	2	3	1	1	1	5	1	3	2	2	4	3	4	5	4	6	4	3	5	3	5
20	75	180	7	1	NA	NA	1	2	2	3	2	2	4	3	2	4	2	4	5	5	6	3	3	5	3	5	5	3
